table,name,valueType,unit,repeatable,label,variableNameRegexp,variableValueRegexp
wave1,id,integer,,0,Unique identifier number of the study participant. This is the first column of the dataset and will be repeated when repeated measures are available per study participant.,,
wave1,mother_id,integer,,0,Unique identifier number for the mother,,
wave1,preg_no,integer,,0,Within-mother pregnancy number for each pregnancy included in the study.,,
wave1,child_no,integer,,0,Within-pregnancy birth order,,
wave1,study_id ,integer,,0,Unique identifier number for the study ,,
wave1,study_country,integer,,0,Country of the study ,,
wave1,parity_m,integer,,0,"Mother's parity based on previous born children (previous stillbirths included, abortions excluded)",,
wave1,agebirth_m_y,integer,years,0,Mother's age at delivery in complete years.,,
wave1,agebirth_p_y,integer,years,0,Father's age at birth in complete years.,,
wave1,agebirth_p_fath,integer,,0,"Variable indicating whether the father figure in agebirth_p_y corresponds to the biological father, the social father or mother, or whether this is unknown.",,
wave1,height_m,decimal,cm,0,Maternal height. Also indicate the corresponding method.,^height_m[0-1]$,
wave1,prepreg_weight,decimal,kg,0,Pre-pregnancy weight. Also indicate the corresponding method.,^prepreg_weight[0-1]$,
wave1,prepreg_weight_ga,integer,days,0,Gestational age of mother when early pregnancy weight was measured if early pregnancy weight is used as a surrogate for pre-pregnancy weight,,
wave1,latepreg_weight,decimal,kg,0,Latest measurement of weight before delivery. Also indicate the corresponding method.,^latepreg_weight[0-1]$,
wave1,latepreg_weight_ga,integer,days,0,Gestational age when late-pregnancy weight measured,,
wave1,weight_f1,decimal,kg,0,Primary/main father figure´s weight reported in first paternal questionnaire. Also indicate the corresponding method.,^weight_f1[0-2]$,
wave1,weight_f1_fath,integer,,0,"Variable indicating whether the primary father figure in weight_f1 corresponds to the biological father,  the social father or mother, or whether this is unknown.",,
wave1,height_f1,decimal,cm,0,Primary/main father figure´s height reported in first paternal questionnaire. Also indicate the corresponding method.,^height_f1[0-2]$,
wave1,height_f1_fath,integer,,0,"Variable indicating whether the primary father figure in height_f1 corresponds to the biological father,  the social father or mother, or whether this is unknown.",,
wave1,prepreg_alc,integer,,0,Did the mother drink alcohol before pregnancy? (ever) ,,
wave1,prepreg_alc_unit,integer,,0,Average units of alcohol mother drank per week before pregnancy,,
wave1,preg_alc,integer,,0,Maternal alcohol intake during pregnancy ,,
wave1,preg_alc_unit,integer,,0,Average units of alcohol mother drank per week during pregnancy,,
wave1,alc_t1,integer,,0,Any alcohol intake in first trimester of pregnancy,,
wave1,alc_t2,integer,,0,Any alcohol intake in second trimester of pregnancy,,
wave1,alc_t3,integer,,0,Any alcohol intake in third trimester of pregnancy,,
wave1,prepreg_smk,integer,,0,Maternal smoking before pregnancy at any time pre-partum ,,
wave1,prepreg_cig,integer,,0,Cigarettes per a day before pregnancy at any time pre-partum,,
wave1,preg_smk,integer,,0,Any smoking during pregnancy,,
wave1,preg_cig,integer,,0,Average number of cigarettes smoked per day during pregnancy,,
